0,1,2,3,4,5,6,7,8,9
Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
305,"March 4, 202403:53[63]",F9 B5B1083‑1,"Kennedy, LC‑39A",Crew-8 (Crew Dragon C206-5 Endeavour),"~13,000 kg (29,000 lb)",LEO (ISS),NASA (CTS),Success,Success (LZ‑1)
"After first six Crew Dragon launches of NASA USCV award, a further three missions for SpaceX were announced on December 3, 2021. These launches carry up to four astronauts and 100 kg (220 lb) of cargo to the ISS as well as feature a lifeboat function to evacuate astronauts from ISS in case of an emergency. SpaceX flew its 50th astronaut on this Crew Dragon launch.[64]",,,,,,,,,
306,"March 4, 202422:05[65]",F9 B5B1081‑5,"Vandenberg, SLC‑4E",Transporter-10 (53 payload smallsat rideshare),Unknown[l],SSO,Various,Success,Success (LZ‑4)
"Dedicated SmallSat Rideshare mission to sun-synchronous orbit including the 1,000th satellite of SpaceX rideshare program.[66][67] Third time a second stage featured Falcon medium coast mission-extension kit.",,,,,,,,,
307,"March 4, 202423:56[68]",F9 B5B1073‑13,"Cape Canaveral, SLC‑40",Starlink: Group 6-41 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. SpaceX set a new record for the shortest time between two Falcon launches at 1 hour and 51 minutes. The previous record time was 2 hours and 54 minutes, set between the USSF-52 (Boeing X-37B OTV-7) and Starlink Group 6–36 missions on December 29, 2023. Thus for the first time, SpaceX launch operations for a mission coincided with that of a preceding launch (in this case, payload deployment of Transporter-10:(53 payloads SmallSat Rideshare).[69] It was a new record for the shortest time between three Falcon launches at 20 hours and 3 minutes. The previous record time was 23 hours and 4 minutes, set between flights 298 and 300 on February 14/15, 2024.",,,,,,,,,
308,"March 10, 202423:05[70]",F9 B5B1077‑11,"Cape Canaveral, SLC‑40",Starlink: Group 6-43 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
309,"March 11, 202404:09[71]",F9 B5B1063‑17,"Vandenberg, SLC‑4E",Starlink: Group 7-17 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (OCISLY)
